109006,Anxiety disorder of childhood OR adolescence (disorder)
111002,Parathyroid structure (body structure)
124002,Structure of coronoid process of mandible (body structure)
125001,Ferrous (59-Fe) sulfate (substance)
140004,Chronic pharyngitis (disorder)
187006,Cyanocobalamin (57-Co) (substance)
219006,Current drinker of alcohol (finding)
252000,Acinetobacter johnsonii (organism)
270002,Female first cousin (person)
271003,"Bone plate, device (physical object)"
281004,Dementia associated with alcoholism (disorder)
283001,Structure of central axillary lymph node (body structure)
286009,Czech (ethnic group)
290006,Melnick-Fraser syndrome (disorder)
297009,Acute myringitis (disorder)
315003,Skin structure of umbilicus (body structure)
317006,Reactive hypoglycemia (disorder)
330007,Occipital headache (finding)
345000,Atrioventricular bundle structure (body structure)
359007,Kernicterus due to isoimmunization (disorder)
368009,Heart valve disorder (disorder)
385006,Secondary peripheral neuropathy (disorder)
393006,Structure of wall of urinary bladder (body structure)
409002,Food allergy diet (finding)
432003,Carminic acid stain (substance)
439007,Therapeutic radioisotope (product)
461002,Structure of lateral corticospinal tract (body structure)
485005,Transverse colon structure (body structure)
490008,Upper respiratory tract hypersensitivity reaction (disorder)
524008,Multifocal (qualifier value)
548004,13p partial trisomy syndrome (disorder)
563001,Nystagmus (disorder)
568005,Tic disorder (disorder)
589001,Interventricular septum structure (body structure)
596004,Premenstrual dysphoric disorder (disorder)
638008,Legionella oakridgensis (organism)
661005,Jaw region structure (body structure)
739006,"Bicycle ergometer, device (physical object)"
774007,Structure of head and/or neck (body structure)
787001,Rheumatic mitral stenosis with regurgitation (disorder)
788006,Disease-related diet (finding)
792004,Jakob-Creutzfeldt disease (disorder)
795002,Deep (qualifier value)
796001,Product containing digoxin (medicinal product)
805002,Pneumoconiosis caused by silica (disorder)
811004,Flail motion (finding)
813001,Ankle instability (finding)
815008,Episcleritis (disorder)
832007,Moderate major depression (disorder)
834008,Chair-seated facing coital position (finding)
865004,Hyperalimentation formula for ileus (finding)
873008,Urethan (substance)
891003,Suicide by self-administered drug (event)
909007,Mycobacterium parafortuitum (organism)
925002,Sodium iodipamide (substance)
932006,Flat affect (finding)
955009,Bronchial structure (body structure)
965003,Toxic amblyopia (disorder)
967006,Medication education (procedure)
976004,Structure of ovarian vein (body structure)
1023001,Apnea (finding)
1048003,Capillary specimen collection (procedure)
1055001,Stenosis of precerebral artery (disorder)
1085006,Candidiasis of vulva (disorder)
1101003,Cranial cavity structure (body structure)
1107004,"Early latent syphilis, positive serology, negative cerebrospinal fluid, with relapse after treatment (disorder)"
1145003,Developmental speech disorder (disorder)
1166006,Titanium (substance)
1172006,Structure of odontoid process of axis (body structure)
1182007,Hypotensive agent (product)
1193009,Structure of teres major muscle (body structure)
1194003,"Disease condition determination, well controlled (finding)"
1201005,Benign essential hypertension (disorder)
1202003,Mastication (observable entity)
1210002,Struck by falling lumber (event)
1211003,"Treadmill, device (physical object)"
1231004,Meninges structure (body structure)
1239002,Congenital anteversion of femur (finding)
1240000,Prone body position (finding)
1250004,Decreased (qualifier value)
1261007,Fracture of multiple ribs (disorder)
1290001,Metamycoplasma hominis (organism)
1305003,Double (qualifier value)
1307006,Glottis structure (body structure)
1312007,Guttate (qualifier value)
1335005,Induratio penis plastica (disorder)
1340002,Malays (ethnic group)
1346008,Blue shade eosin stain (substance)
1366004,Inhalation therapy procedure (procedure)
1368003,Iodine-131 (substance)
1376001,Obsessive compulsive personality disorder (disorder)
1380006,Agoraphobia without history of panic disorder with limited symptom attacks (disorder)
1386000,Intracranial hemorrhage (disorder)
1402001,Fear (finding)
1415005,Lymphangitis (disorder)
1439000,Structure of paravesicular lymph node (body structure)
1451003,Greeks (ethnic group)
1475003,Herpes labialis (disorder)
1482004,Cyst of meibomian gland (disorder)
1483009,Angular (qualifier value)
1489008,Hordeolum externum (disorder)
1507005,Mycobacterium kansasii (organism)
1522000,Plaque (morphologic abnormality)
1532007,Viral pharyngitis (disorder)
1537001,Intervertebral disc structure of eleventh thoracic vertebra (body structure)
1539003,Acquired trigger finger (disorder)
1542009,Omphalocele with obstruction (disorder)
1563006,Protein S deficiency disease (disorder)
1658003,Closed fracture of acromial end of clavicle (disorder)
1663004,G2 grade (finding)
1679003,Arthritis associated with another disorder (disorder)
1686006,"Sedative, hypnotic AND/OR anxiolytic-induced anxiety disorder (disorder)"
1705000,Closed fracture of base of neck of femur (disorder)
1710001,Uric acid (substance)
1732005,Thoracic duct structure (body structure)
1742007,Female hypererotism (finding)
1748006,Thrombophlebitis of deep femoral vein (disorder)
1755008,Old myocardial infarction (disorder)
1759002,Assessment of nutritional status (procedure)
1761006,Biliary cirrhosis (disorder)
1776003,Renal tubular acidosis (disorder)
1807002,Forceps delivery failed (situation)
1816003,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks (disorder)"
1847009,Endophthalmitis (disorder)
1849007,Structure of pharyngeal recess (body structure)
1855002,Developmental academic disorder (disorder)
1857005,Congenital rubella syndrome (disorder)
