code,term,term_clean,semantic_tag
111002,Parathyroid structure (body structure),Parathyroid structure,body structure
124002,Structure of coronoid process of mandible (body structure),Structure of coronoid process of mandible,body structure
125001,Ferrous (59-Fe) sulfate (substance),Ferrous (59-Fe) sulfate,substance
140004,Chronic pharyngitis (disorder),Chronic pharyngitis,disorder
187006,Cyanocobalamin (57-Co) (substance),Cyanocobalamin (57-Co),substance
219006,Current drinker of alcohol (finding),Current drinker of alcohol,finding
252000,Acinetobacter johnsonii (organism),Acinetobacter johnsonii,organism
270002,Female first cousin (person),Female first cousin,person
271003,"Bone plate, device (physical object)","Bone plate, device",physical object
281004,Dementia associated with alcoholism (disorder),Dementia associated with alcoholism,disorder
283001,Structure of central axillary lymph node (body structure),Structure of central axillary lymph node,body structure
286009,Czech (ethnic group),Czech,ethnic group
290006,Melnick-Fraser syndrome (disorder),Melnick-Fraser syndrome,disorder
297009,Acute myringitis (disorder),Acute myringitis,disorder
315003,Skin structure of umbilicus (body structure),Skin structure of umbilicus,body structure
317006,Reactive hypoglycemia (disorder),Reactive hypoglycemia,disorder
330007,Occipital headache (finding),Occipital headache,finding
345000,Atrioventricular bundle structure (body structure),Atrioventricular bundle structure,body structure
359007,Kernicterus due to isoimmunization (disorder),Kernicterus due to isoimmunization,disorder
368009,Heart valve disorder (disorder),Heart valve disorder,disorder
385006,Secondary peripheral neuropathy (disorder),Secondary peripheral neuropathy,disorder
393006,Structure of wall of urinary bladder (body structure),Structure of wall of urinary bladder,body structure
409002,Food allergy diet (finding),Food allergy diet,finding
432003,Carminic acid stain (substance),Carminic acid stain,substance
439007,Therapeutic radioisotope (product),Therapeutic radioisotope,product
461002,Structure of lateral corticospinal tract (body structure),Structure of lateral corticospinal tract,body structure
485005,Transverse colon structure (body structure),Transverse colon structure,body structure
490008,Upper respiratory tract hypersensitivity reaction (disorder),Upper respiratory tract hypersensitivity reaction,disorder
524008,Multifocal (qualifier value),Multifocal,qualifier value
548004,13p partial trisomy syndrome (disorder),13p partial trisomy syndrome,disorder
563001,Nystagmus (disorder),Nystagmus,disorder
568005,Tic disorder (disorder),Tic disorder,disorder
589001,Interventricular septum structure (body structure),Interventricular septum structure,body structure
596004,Premenstrual dysphoric disorder (disorder),Premenstrual dysphoric disorder,disorder
638008,Legionella oakridgensis (organism),Legionella oakridgensis,organism
661005,Jaw region structure (body structure),Jaw region structure,body structure
739006,"Bicycle ergometer, device (physical object)","Bicycle ergometer, device",physical object
774007,Structure of head and/or neck (body structure),Structure of head and/or neck,body structure
787001,Rheumatic mitral stenosis with regurgitation (disorder),Rheumatic mitral stenosis with regurgitation,disorder
788006,Disease-related diet (finding),Disease-related diet,finding
792004,Jakob-Creutzfeldt disease (disorder),Jakob-Creutzfeldt disease,disorder
795002,Deep (qualifier value),Deep,qualifier value
796001,Product containing digoxin (medicinal product),Product containing digoxin,medicinal product
805002,Pneumoconiosis caused by silica (disorder),Pneumoconiosis caused by silica,disorder
811004,Flail motion (finding),Flail motion,finding
813001,Ankle instability (finding),Ankle instability,finding
815008,Episcleritis (disorder),Episcleritis,disorder
832007,Moderate major depression (disorder),Moderate major depression,disorder
834008,Chair-seated facing coital position (finding),Chair-seated facing coital position,finding
865004,Hyperalimentation formula for ileus (finding),Hyperalimentation formula for ileus,finding
873008,Urethan (substance),Urethan,substance
891003,Suicide by self-administered drug (event),Suicide by self-administered drug,event
909007,Mycobacterium parafortuitum (organism),Mycobacterium parafortuitum,organism
925002,Sodium iodipamide (substance),Sodium iodipamide,substance
